cluster_id,role,keyword,intent,volume_band,target_url,notes
# Format: cluster_id groups 1 primary + 4 secondary keywords for one blog post
# volume_band: high (1000+/mo AU est), medium (100-1000), low (under 100 — long-tail)
# target_url: where this cluster should live (existing post or proposed new slug)
# Generated by Claude from industry knowledge; not real Google data. Cross-check top 20 with Keyword Planner before high-effort content.
#
# === EXISTING POSTS (clusters 1-7 — already shipped, listed for completeness) ===
1,primary,when to service mercedes c-class,Informational,medium,/blog/when-to-service-your-c-class,covered
1,secondary,mercedes c-class service intervals,Informational,medium,/blog/when-to-service-your-c-class,covered
1,secondary,c-class service A vs service B,Informational,low,/blog/when-to-service-your-c-class,covered
1,secondary,mercedes c-class oil change interval,Informational,medium,/blog/when-to-service-your-c-class,covered
1,secondary,c-class assyst service indicator,Informational,low,/blog/when-to-service-your-c-class,covered
2,primary,w205 c-class common problems,Informational,medium,/blog/common-w205-issues,covered
2,secondary,mercedes w205 transmission issues,Informational,low,/blog/common-w205-issues,covered
2,secondary,w205 c-class engine problems,Informational,low,/blog/common-w205-issues,covered
2,secondary,2014-2021 c-class reliability,Informational,medium,/blog/common-w205-issues,covered
2,secondary,w205 c-class buying guide,Informational,medium,/blog/common-w205-issues,covered
3,primary,independent mercedes service warranty,Informational,medium,/blog/warranty-independent-service,covered
3,secondary,does independent servicing void mercedes warranty,Informational,medium,/blog/warranty-independent-service,covered
3,secondary,mercedes warranty australian consumer law,Informational,low,/blog/warranty-independent-service,covered
3,secondary,can independent mechanic service mercedes,Informational,medium,/blog/warranty-independent-service,covered
3,secondary,mercedes service log book stamp,Informational,low,/blog/warranty-independent-service,covered
4,primary,mercedes service cost melbourne,Informational,medium,/blog/mercedes-service-cost-melbourne,covered
4,secondary,how much does a mercedes service cost australia,Informational,medium,/blog/mercedes-service-cost-melbourne,covered
4,secondary,mercedes service price comparison,Informational,low,/blog/mercedes-service-cost-melbourne,covered
4,secondary,mercedes dealer service cost,Informational,medium,/blog/mercedes-service-cost-melbourne,covered
4,secondary,cheap mercedes service melbourne,Informational,medium,/blog/mercedes-service-cost-melbourne,covered
5,primary,how often service amg,Informational,medium,/blog/how-often-service-amg,covered
5,secondary,amg service intervals,Informational,medium,/blog/how-often-service-amg,covered
5,secondary,c63 service cost,Informational,medium,/blog/how-often-service-amg,covered
5,secondary,amg oil change interval,Informational,low,/blog/how-often-service-amg,covered
5,secondary,amg transmission service interval,Informational,low,/blog/how-often-service-amg,covered
6,primary,mercedes abs warning light,Informational,high,/blog/mercedes-abs-warning-light,covered
6,secondary,mercedes esp light meaning,Informational,medium,/blog/mercedes-abs-warning-light,covered
6,secondary,abs light on mercedes cost to fix,Informational,medium,/blog/mercedes-abs-warning-light,covered
6,secondary,mercedes wheel speed sensor replacement,Informational,low,/blog/mercedes-abs-warning-light,covered
6,secondary,is it safe to drive with abs light on,Informational,medium,/blog/mercedes-abs-warning-light,covered
7,primary,buying used mercedes checklist,Informational,medium,/blog/buying-used-mercedes-checklist,covered
7,secondary,mercedes pre purchase inspection australia,Informational,medium,/blog/buying-used-mercedes-checklist,covered
7,secondary,things to check before buying used mercedes,Informational,medium,/blog/buying-used-mercedes-checklist,covered
7,secondary,used mercedes red flags,Informational,low,/blog/buying-used-mercedes-checklist,covered
7,secondary,mercedes service history check,Informational,low,/blog/buying-used-mercedes-checklist,covered
#
# === NEW POSTS (clusters 8-19 — backlog for /seo-blog) ===
#
# Cluster 8 — diesel particulate filter
8,primary,mercedes dpf problems,Informational,medium,/blog/mercedes-dpf-explained,common pain point — high revenue per click
8,secondary,mercedes diesel particulate filter cost,Informational,medium,/blog/mercedes-dpf-explained,
8,secondary,mercedes dpf regeneration,Informational,medium,/blog/mercedes-dpf-explained,
8,secondary,mercedes dpf warning light,Informational,low,/blog/mercedes-dpf-explained,
8,secondary,how to clean mercedes dpf,Informational,medium,/blog/mercedes-dpf-explained,
#
# Cluster 9 — AdBlue / SCR
9,primary,mercedes adblue warning,Informational,medium,/blog/mercedes-adblue-warnings,owner manual missing details
9,secondary,mercedes adblue refill cost,Informational,low,/blog/mercedes-adblue-warnings,
9,secondary,mercedes adblue light reset,Informational,low,/blog/mercedes-adblue-warnings,
9,secondary,mercedes nox sensor failure,Informational,low,/blog/mercedes-adblue-warnings,
9,secondary,mercedes adblue tank capacity,Informational,low,/blog/mercedes-adblue-warnings,
#
# Cluster 10 — transmission jerking
10,primary,mercedes transmission jerking,Informational,medium,/blog/mercedes-transmission-symptoms,high purchase intent — leads to /services/transmission-repair
10,secondary,mercedes 7g tronic problems,Informational,medium,/blog/mercedes-transmission-symptoms,
10,secondary,mercedes 9g tronic issues,Informational,low,/blog/mercedes-transmission-symptoms,
10,secondary,mercedes hard shifting,Informational,medium,/blog/mercedes-transmission-symptoms,
10,secondary,mercedes 722.9 conductor plate,Informational,low,/blog/mercedes-transmission-symptoms,
#
# Cluster 11 — brake replacement signs
11,primary,when to replace mercedes brake pads,Informational,medium,/blog/mercedes-brake-replacement-signs,
11,secondary,mercedes brake squeaking,Informational,medium,/blog/mercedes-brake-replacement-signs,
11,secondary,how long do mercedes brake pads last,Informational,medium,/blog/mercedes-brake-replacement-signs,
11,secondary,mercedes brake warning light,Informational,medium,/blog/mercedes-brake-replacement-signs,
11,secondary,mercedes brake pedal vibration,Informational,low,/blog/mercedes-brake-replacement-signs,
#
# Cluster 12 — battery replacement
12,primary,mercedes battery replacement cost,Informational,medium,/blog/mercedes-battery-replacement-guide,
12,secondary,mercedes battery coding required,Informational,low,/blog/mercedes-battery-replacement-guide,
12,secondary,how long do mercedes batteries last,Informational,medium,/blog/mercedes-battery-replacement-guide,
12,secondary,mercedes auxiliary battery,Informational,medium,/blog/mercedes-battery-replacement-guide,
12,secondary,what battery does my mercedes need,Informational,low,/blog/mercedes-battery-replacement-guide,
#
# Cluster 13 — AC blowing warm
13,primary,mercedes air con blowing warm,Informational,medium,/blog/mercedes-ac-blowing-warm,seasonal spike Oct-Feb
13,secondary,mercedes blend door actuator,Informational,low,/blog/mercedes-ac-blowing-warm,
13,secondary,mercedes ac compressor cost,Informational,medium,/blog/mercedes-ac-blowing-warm,
13,secondary,mercedes climate control not working,Informational,medium,/blog/mercedes-ac-blowing-warm,
13,secondary,mercedes ac regas cost,Informational,medium,/blog/mercedes-ac-blowing-warm,
#
# Cluster 14 — engine oil leak
14,primary,mercedes oil leak common causes,Informational,medium,/blog/mercedes-oil-leak-guide,
14,secondary,mercedes valve cover gasket,Informational,low,/blog/mercedes-oil-leak-guide,
14,secondary,mercedes oil pan gasket replacement,Informational,low,/blog/mercedes-oil-leak-guide,
14,secondary,mercedes engine oil leak repair cost,Informational,medium,/blog/mercedes-oil-leak-guide,
14,secondary,small oil leak under mercedes,Informational,medium,/blog/mercedes-oil-leak-guide,
#
# Cluster 15 — dealer vs specialist
15,primary,mercedes dealer vs specialist,Informational,medium,/blog/dealer-vs-independent-mercedes,strong commercial intent
15,secondary,mercedes independent specialist melbourne,Informational,medium,/blog/dealer-vs-independent-mercedes,
15,secondary,mercedes service dealer vs independent,Informational,low,/blog/dealer-vs-independent-mercedes,
